Refers to  CSD main doc / TechSpec 	CSD Customer Version (initial start) 	Date Raised (MM/DD/YYYY)	CSD Clause or TechSpec Section	Section Heading	System Value/Parameter	Kyndryl RECOMMENDED VALUE	CLIENT AGREED "WEAKER THAN" VALUE	Security Rationale
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.2.4.1.4	Configure cron	Ensure permissions on /etc/cron.daily are configured.	If cron is installed, permissions for the /etc/cron.daily directory must be 700 and owner must be root:root .	If cron is installed, permissions for the /etc/cron.daily directory must be 700 and owner must be root:root .	Granting write access to this directory for non-privileged users could provide them the means for gaining unauthorized elevated privileges. Granting read access to this directory could give an unprivileged user insight in how to gain elevated privileges or circumvent auditing controls.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.2.4.1.5	Configure cron	Ensure permissions on /etc/cron.weekly are configured.	If cron is installed, permissions for the /etc/cron.weekly directory must be 700 and owner must be root:root .	If cron is installed, permissions for the /etc/cron.weekly directory must be 700 and owner must be root:root .	Granting write access to this directory for non-privileged users could provide them the means for gaining unauthorized elevated privileges. Granting read access to this directory could give an unprivileged user insight in how to gain elevated privileges or circumvent auditing controls.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.2.4.1.6	Configure cron	Ensure permissions on /etc/cron.monthly are configured.	If cron is installed, permissions for the /etc/cron.monthly directory must be 700 and owner must be root:root .	If cron is installed, permissions for the /etc/cron.monthly directory must be 700 and owner must be root:root .	Granting write access to this directory for non-privileged users could provide them the means for gaining unauthorized elevated privileges. Granting read access to this directory could give an unprivileged user insight in how to gain elevated privileges or circumvent auditing controls.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.2.4.1.7	Configure cron	Ensure permissions on /etc/cron.d are configured.	If cron is installed, permissions for the /etc/cron.d directory must be 700 and owner must be root:root .	If cron is installed, permissions for the /etc/cron.d directory must be 700 and owner must be root:root .	Granting write access to this directory for non-privileged users could provide them the means for gaining unauthorized elevated privileges. Granting read access to this directory could give an unprivileged user insight in how to gain elevated privileges or circumvent auditing controls.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.2.4.1.8	Configure cron	Ensure crontab is restricted to authorized users.	If cron is installed, /etc/cron.allow must exist, permissions must be 640 or more restrictive and owner must be root:root or root:crontab. If /etc/cron.deny exists, permissions must be 640 or more restrictive and owner must be root:root or root:crontab.	If cron is installed, /etc/cron.allow must exist, permissions must be 640 or more restrictive and owner must be root:root or root:crontab. If /etc/cron.deny exists, permissions must be 640 or more restrictive and owner must be root:root or root:crontab.	On many systems, only the system administrator is authorized to schedule `cron` jobs. Using the `cron.allow` file to control who can run `cron` jobs enforces this policy. It is easier to manage an allow list than a deny list. In a deny list, you could potentially add a user ID to the system and forget to add it to the deny files.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.2.4.2.1	Configure at	Ensure at is restricted to authorized users.	If at is installed, /etc/at.allow must exist, permissions must be 640 or more restrictive and owner must be root. The group must be daemon if that group exists, otherwise the group should be root. If /etc/at.deny exists, permissions must be 640 or more restrictive and owner must be root. The group must be daemon if that group exists, otherwise the group should be root.	If at is installed, /etc/at.allow must exist, permissions must be 640 or more restrictive and owner must be root. The group must be daemon if that group exists, otherwise the group should be root. If /etc/at.deny exists, permissions must be 640 or more restrictive and owner must be root. The group must be daemon if that group exists, otherwise the group should be root.	On many systems, only the system administrator is authorized to schedule `at` jobs. Using the `at.allow` file to control who can run `at` jobs enforces this policy. It is easier to manage an allow list than a deny list. In a deny list, you could potentially add a user ID to the system and forget to add it to the deny files.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.3.1.1	Network	Ensure wireless interfaces are disabled.	Any wireless network interfaces must be disabled.	Any wireless network interfaces must be disabled.	**-IF-** wireless is not to be used, wireless devices can be disabled to reduce the potential attack surface.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.3.1.2	Network	Ensure bluetooth services are not in use.	Bluetooth must be disabled.	Bluetooth must be disabled.	An attacker may be able to find a way to access or corrupt your data. One example of this type of activity is `bluesnarfing`, which refers to attackers using a Bluetooth connection to steal information off of your Bluetooth device. Also, viruses or other malicious code can take advantage of Bluetooth technology to infect other devices. If you are infected, your data may be corrupted, compromised, stolen, or lost.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.3.2.1	Configure Network Kernel Parameters	Ensure ip forwarding is disabled.	"Must be disabled.
net.ipv4.ip_forward = 0
net.ipv6.conf.all.forwarding = 0"	"Must be disabled.
net.ipv4.ip_forward = 0
net.ipv6.conf.all.forwarding = 0"	Setting `net.ipv4.ip_forward` and `net.ipv6.conf.all.forwarding` to `0` ensures that a system with multiple interfaces (for example, a hard proxy), will never be able to forward packets, and therefore, never serve as a router.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.3.2.10	Configure Network Kernel Parameters	Ensure tcp syn cookies is enabled.	"""tcp syn cookies must be enabled.
- `net.ipv4.tcp_syncookies` must be set to `1`""."	"""tcp syn cookies must be enabled.
- `net.ipv4.tcp_syncookies` must be set to `1`""."	Attackers use SYN flood attacks to perform a denial of service attacked on a system by sending many SYN packets without completing the three way handshake. This will quickly use up slots in the kernel's half-open connection queue and prevent legitimate connections from succeeding. Setting `net.ipv4.tcp_syncookies` to `1` enables SYN cookies, allowing the system to keep accepting valid connections, even if under a denial of service attack.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.3.2.11	Configure Network Kernel Parameters	Ensure ipv6 router advertisements are not accepted.	"ipv6 router advertisements must not be accepted.
- `net.ipv6.conf.all.accept_ra` must be set to `0`
- `net.ipv6.conf.default.accept_ra` must be set to `0`."	"ipv6 router advertisements must not be accepted.
- `net.ipv6.conf.all.accept_ra` must be set to `0`
- `net.ipv6.conf.default.accept_ra` must be set to `0`."	It is recommended that systems do not accept router advertisements as they could be tricked into routing traffic to compromised machines. Setting hard routes within the system (usually a single default route to a trusted router) protects the system from bad routes. Setting `net.ipv6.conf.all.accept_ra` and `net.ipv6.conf.default.accept_ra` to `0` disables the system's ability to accept IPv6 router advertisements.
Ubuntu 24.04 LTS	1.0	02/26/2026	JR4.C.3.2.2	Configure Network Kernel Parameters	Ensure packet redirect sending is disabled.	"Must be disabled.
net.ipv4.conf.all.send_redirects = 0
net.ipv4.conf.default.send_redirects = 0"	"Must be disabled.
net.ipv4.conf.all.send_redirects = 0
net.ipv4.conf.default.send_redirects = 0"	An attacker could use a compromised host to send invalid ICMP redirects to other router devices in an attempt to corrupt routing and have users access a system set up by the attacker as opposed to a valid system.
